"Points:0","Points:1","Points:2"
0.25807,0.084417,0
0.28623,0.084606,0
0.3158,0.084439,0
0.34663,0.08391,0
0.37859,0.083021,0
0.41148,0.081783,0
0.44511,0.080217,0
0.47924,0.078349,0
0.51364,0.076213,0
0.54807,0.073851,0
0.58226,0.071303,0
0.61598,0.068615,0
0.64901,0.06583,0
0.68112,0.062994,0
0.71214,0.060145,0
0.7419,0.057323,0
0.77027,0.054563,0
0.79717,0.051896,0
0.82251,0.04935,0
0.84626,0.046948,0
0.8684,0.044711,0
0.88896,0.04265,0
0.90796,0.040761,0
0.92551,0.039007,0
0.94175,0.037286,0
0.9569,0.035389,0
0.9713,0.032943,0
0.98532,0.029323,0
0.99897,0.023347,0
1.0132,0.013483,0
1.0136,6.5839e-11,0
1.0132,-0.013483,0
1.0164,-0.015488,0
1.0024,-0.027627,0
0.98805,-0.035199,0
0.97325,-0.039902,0
0.9582,-0.04299,0
0.94259,-0.045185,0
0.92611,-0.046958,0
0.90845,-0.048614,0
0.88941,-0.050333,0
0.86886,-0.052203,0
0.84672,-0.054256,0
0.82298,-0.056493,0
0.79765,-0.058896,0
0.77076,-0.06144,0
0.74239,-0.064096,0
0.71262,-0.066831,0
0.6816,-0.069608,0
0.64948,-0.072388,0
0.61645,-0.075128,0
0.58272,-0.077784,0
0.54851,-0.080312,0
0.51407,-0.082667,0
0.47964,-0.084805,0
0.44548,-0.086688,0
0.41182,-0.088281,0
0.37889,-0.089556,0
0.34689,-0.090495,0
0.31601,-0.091087,0
0.28639,-0.09133,0
0.25816,-0.091232,0
0.23141,-0.090807,0
0.2062,-0.090078,0
0.18256,-0.08907,0
0.16049,-0.087812,0
0.13998,-0.086331,0
0.12097,-0.084648,0
0.10339,-0.082774,0
0.087156,-0.080702,0
0.072151,-0.0784,0
0.058248,-0.07581,0
0.04532,-0.072844,0
0.03325,-0.069387,0
0.021954,-0.065309,0
0.011394,-0.060469,0
0.0015954,-0.05473,0
-0.0073401,-0.047976,0
-0.015231,-0.040131,0
-0.021821,-0.031204,0
-0.026801,-0.021325,0
-0.029859,-0.01079,0
-0.030867,-1.1508e-10,0
-0.029859,0.01079,0
-0.026801,0.021325,0
-0.021821,0.031204,0
-0.015231,0.040131,0
-0.0073401,0.047976,0
0.0015954,0.05473,0
0.011394,0.060469,0
0.021954,0.065309,0
0.03325,0.069387,0
0.04532,0.072844,0
0.058248,0.07581,0
0.072151,0.0784,0
0.087156,0.080702,0
0.10339,0.082774,0
0.12097,0.084648,0
0.13998,0.086331,0
0.16049,0.087812,0
0.18256,0.08907,0
0.2062,0.090078,0
0.23141,0.090807,0
0.25816,0.091232,0
0.28639,0.09133,0
0.31601,0.091087,0
0.34689,0.090495,0
0.37889,0.089556,0
0.41182,0.088281,0
0.44548,0.086688,0
0.47964,0.084805,0
0.51407,0.082667,0
0.54851,0.080312,0
0.58272,0.077784,0
0.61645,0.075128,0
0.64948,0.072388,0
0.6816,0.069608,0
0.71262,0.066831,0
0.74239,0.064096,0
0.77076,0.06144,0
0.79765,0.058896,0
0.82298,0.056493,0
0.84672,0.054256,0
0.86886,0.052203,0
